가맹점ID,가맹점명,맞춤형설명,업종,개설일,폐업일,주소,상권,유동고객비율_3m,유동고객비율_2m,유동고객비율_1m,직장고객비율_3m,직장고객비율_2m,직장고객비율_1m,거주고객비율_3m,거주고객비율_2m,거주고객비율_1m,신규고객비율_3m,신규고객비율_2m,신규고객비율_1m,재방문율_3m,재방문율_2m,재방문율_1m,상권내폐업비율_3m,상권내폐업비율_2m,상권내폐업비율_1m,업종내폐업비율_3m,업종내폐업비율_2m,업종내폐업비율_1m,상권내매출순위비율_3m,상권내매출순위비율_2m,상권내매출순위비율_1m,업종내매출순위비율_3m,업종내매출순위비율_2m,업종내매출순위비율_1m,신규고객비율_추세,상권내매출순위비율_추세,업종내매출순위비율_추세,유동고객비율_추세,상권내폐업비율_추세,업종내폐업비율_추세,재방문율_추세,매출금액구간_추세,거주고객비율_추세,직장고객비율_추세,매출건수구간_추세,매출건수구간_3m,매출건수구간_2m,매출건수구간_1m,매출금액구간_3m,매출금액구간_2m,매출금액구간_1m
7E27181707,뺑드*,"폐업 위험도: 높음 (0.97). 주요 원인: 운영개월수구간 영향도 4.91, 여성20대이하비율 영향도 0.99, 신규고객비율 영향도 0.90. 고객유형: 남성 20-30대, 여성 30대 비율 높음, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율 높음",베이커리,2016-07-04,2023-01-05,서울 성동구 마조로9길 6-3,한양대,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
FE30B6645E,후라**************,"폐업 위험도: 높음 (0.98). 주요 원인: 운영개월수구간 영향도 5.03, 신규고객비율 영향도 1.22, 업종_대분류 영향도 0.68. 고객유형: 고르게 분포, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율 높음",치킨,2019-01-24,2023-03-21,서울특별시 성동구 왕십리로24길 27-1,왕십리,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
8D7C69A199,커피**********,"폐업 위험도: 높음 (0.99). 주요 원인: 운영개월수구간 영향도 4.71, 업종내폐업비율 영향도 2.22, 여성20대이하비율 영향도 0.85. 고객유형: 남성 50-60대 중심, 젊은층 적음, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율/신규고객 모두 낮음",커피전문점,2019-10-28,2023-04-18,서울특별시 성동구 연무장7길 8-1,성수,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
099CBF2425,한사**********,"폐업 위험도: 높음 (0.96). 주요 원인: 운영개월수구간 영향도 5.47, 군집_고객관계_KM 영향도 0.93, 신규고객비율 영향도 0.58. 고객유형: 고르게 분포, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율 높음",한식-단품요리일반,2019-09-25,2023-04-17,서울특별시 성동구 무학봉15길 26-1,왕십리,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
1E00B3CC15,럼프**,"폐업 위험도: 높음 (0.93). 주요 원인: 운영개월수구간 영향도 4.81, 상권내폐업비율 영향도 1.01, 여성40대비율 영향도 0.75. 고객유형: 30-50대 남성 중심, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율/신규고객 모두 낮음",한식-단품요리일반,2014-10-29,2023-05-04,서울 성동구 용답29길 28.,답십리,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
32425BE27F,도쎄***,"폐업 위험도: 높음 (0.93). 주요 원인: 운영개월수구간 영향도 4.35, 여성20대이하비율 영향도 0.89, 신규고객비율 영향도 0.56. 고객유형: 남성 20-30대, 여성 30대 비율 높음, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 신규 고객 비율 높음",양식,2021-07-12,2023-05-30,서울특별시 성동구 왕십리로 58,상권없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
2D56DC79C1,처갓*********,"폐업 위험도: 낮음 (0.38). 주요 원인: 운영개월수구간 영향도 4.72, 업종내매출순위비율 영향도 -0.69, 남성50대비율 영향도 0.69. 고객유형: 30-50대 남성 중심, 경쟁력: 경쟁력 낮음 (매출 순위 하위), 고객관계: 신규 고객 비율 높음",치킨,2019-01-29,2023-05-15,서울특별시 성동구 마장로23길 7,상권없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
C67A90C6B4,이영**,"폐업 위험도: 높음 (0.95). 주요 원인: 운영개월수구간 영향도 4.70, 업종내폐업비율 영향도 1.51, 신규고객비율 영향도 0.93. 고객유형: 고객유형 미정, 경쟁력: 경쟁력 낮음 (매출 순위 하위), 고객관계: 재방문율/신규고객 모두 낮음",축산물,2015-07-30,2023-08-22,서울 성동구 마장로37길 40,상권없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
A2C52B6B6A,차일**,"폐업 위험도: 낮음 (0.00). 주요 원인: 운영개월수구간 영향도 2.14, 신규고객비율 영향도 -1.38, 여성20대이하비율 영향도 0.88. 고객유형: 남성 20-30대, 여성 30대 비율 높음, 경쟁력: 경쟁력 낮음 (매출 순위 하위), 고객관계: 신규 고객 비율 높음",한식-단품요리일반,2022-06-08,2023-08-21,서울특별시 성동구 연무장길 114,상권없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
6A2D56434E,도담**,"폐업 위험도: 높음 (0.96). 주요 원인: 운영개월수구간 영향도 4.99, 여성20대이하비율 영향도 0.91, 신규고객비율 영향도 0.91. 고객유형: 남성 50-60대 중심, 젊은층 적음, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율/신규고객 모두 낮음",치킨,2016-05-09,2023-09-11,서울 성동구 마조로1가길 14.,한양대,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
